dteday,cnt,registered,casual,Recency,Frequency,Monetary
2011-01-01,985,654,331,730,985,985
2011-01-02,801,670,131,729,801,801
2011-01-03,1349,1229,120,728,1349,1349
2011-01-04,1562,1454,108,727,1562,1562
2011-01-05,1600,1518,82,726,1600,1600
2011-01-06,1606,1518,88,725,1606,1606
2011-01-07,1510,1362,148,724,1510,1510
2011-01-08,959,891,68,723,959,959
2011-01-09,822,768,54,722,822,822
2011-01-10,1321,1280,41,721,1321,1321
2011-01-11,1263,1220,43,720,1263,1263
2011-01-12,1162,1137,25,719,1162,1162
2011-01-13,1406,1368,38,718,1406,1406
2011-01-14,1421,1367,54,717,1421,1421
2011-01-15,1248,1026,222,716,1248,1248
2011-01-16,1204,953,251,715,1204,1204
2011-01-17,1000,883,117,714,1000,1000
2011-01-18,683,674,9,713,683,683
2011-01-19,1650,1572,78,712,1650,1650
2011-01-20,1927,1844,83,711,1927,1927
2011-01-21,1543,1468,75,710,1543,1543
2011-01-22,981,888,93,709,981,981
2011-01-23,986,836,150,708,986,986
2011-01-24,1416,1330,86,707,1416,1416
2011-01-25,1985,1799,186,706,1985,1985
2011-01-26,506,472,34,705,506,506
2011-01-27,431,416,15,704,431,431
2011-01-28,1167,1129,38,703,1167,1167
2011-01-29,1098,975,123,702,1098,1098
2011-01-30,1096,956,140,701,1096,1096
2011-01-31,1501,1459,42,700,1501,1501
2011-02-01,1360,1313,47,699,1360,1360
2011-02-02,1526,1454,72,698,1526,1526
2011-02-03,1550,1489,61,697,1550,1550
2011-02-04,1708,1620,88,696,1708,1708
2011-02-05,1005,905,100,695,1005,1005
2011-02-06,1623,1269,354,694,1623,1623
2011-02-07,1712,1592,120,693,1712,1712
2011-02-08,1530,1466,64,692,1530,1530
2011-02-09,1605,1552,53,691,1605,1605
2011-02-10,1538,1491,47,690,1538,1538
2011-02-11,1746,1597,149,689,1746,1746
2011-02-12,1472,1184,288,688,1472,1472
2011-02-13,1589,1192,397,687,1589,1589
2011-02-14,1913,1705,208,686,1913,1913
2011-02-15,1815,1675,140,685,1815,1815
2011-02-16,2115,1897,218,684,2115,2115
2011-02-17,2475,2216,259,683,2475,2475
2011-02-18,2927,2348,579,682,2927,2927
2011-02-19,1635,1103,532,681,1635,1635
2011-02-20,1812,1173,639,680,1812,1812
2011-02-21,1107,912,195,679,1107,1107
2011-02-22,1450,1376,74,678,1450,1450
2011-02-23,1917,1778,139,677,1917,1917
2011-02-24,1807,1707,100,676,1807,1807
2011-02-25,1461,1341,120,675,1461,1461
2011-02-26,1969,1545,424,674,1969,1969
2011-02-27,2402,1708,694,673,2402,2402
2011-02-28,1446,1365,81,672,1446,1446
2011-03-01,1851,1714,137,671,1851,1851
2011-03-02,2134,1903,231,670,2134,2134
2011-03-03,1685,1562,123,669,1685,1685
2011-03-04,1944,1730,214,668,1944,1944
2011-03-05,2077,1437,640,667,2077,2077
2011-03-06,605,491,114,666,605,605
2011-03-07,1872,1628,244,665,1872,1872
2011-03-08,2133,1817,316,664,2133,2133
2011-03-09,1891,1700,191,663,1891,1891
2011-03-10,623,577,46,662,623,623
2011-03-11,1977,1730,247,661,1977,1977
2011-03-12,2132,1408,724,660,2132,2132
2011-03-13,2417,1435,982,659,2417,2417
2011-03-14,2046,1687,359,658,2046,2046
2011-03-15,2056,1767,289,657,2056,2056
2011-03-16,2192,1871,321,656,2192,2192
2011-03-17,2744,2320,424,655,2744,2744
2011-03-18,3239,2355,884,654,3239,3239
2011-03-19,3117,1693,1424,653,3117,3117
2011-03-20,2471,1424,1047,652,2471,2471
2011-03-21,2077,1676,401,651,2077,2077
2011-03-22,2703,2243,460,650,2703,2703
2011-03-23,2121,1918,203,649,2121,2121
2011-03-24,1865,1699,166,648,1865,1865
2011-03-25,2210,1910,300,647,2210,2210
2011-03-26,2496,1515,981,646,2496,2496
2011-03-27,1693,1221,472,645,1693,1693
2011-03-28,2028,1806,222,644,2028,2028
2011-03-29,2425,2108,317,643,2425,2425
2011-03-30,1536,1368,168,642,1536,1536
2011-03-31,1685,1506,179,641,1685,1685
2011-04-01,2227,1920,307,640,2227,2227
2011-04-02,2252,1354,898,639,2252,2252
2011-04-03,3249,1598,1651,638,3249,3249
2011-04-04,3115,2381,734,637,3115,3115
2011-04-05,1795,1628,167,636,1795,1795
2011-04-06,2808,2395,413,635,2808,2808
2011-04-07,3141,2570,571,634,3141,3141
2011-04-08,1471,1299,172,633,1471,1471
2011-04-09,2455,1576,879,632,2455,2455
2011-04-10,2895,1707,1188,631,2895,2895
2011-04-11,3348,2493,855,630,3348,3348
2011-04-12,2034,1777,257,629,2034,2034
2011-04-13,2162,1953,209,628,2162,2162
2011-04-14,3267,2738,529,627,3267,3267
2011-04-15,3126,2484,642,626,3126,3126
2011-04-16,795,674,121,625,795,795
2011-04-17,3744,2186,1558,624,3744,3744
2011-04-18,3429,2760,669,623,3429,3429
2011-04-19,3204,2795,409,622,3204,3204
2011-04-20,3944,3331,613,621,3944,3944
2011-04-21,4189,3444,745,620,4189,4189
2011-04-22,1683,1506,177,619,1683,1683
2011-04-23,4036,2574,1462,618,4036,4036
2011-04-24,4191,2481,1710,617,4191,4191
2011-04-25,4073,3300,773,616,4073,4073
2011-04-26,4400,3722,678,615,4400,4400
2011-04-27,3872,3325,547,614,3872,3872
2011-04-28,4058,3489,569,613,4058,4058
2011-04-29,4595,3717,878,612,4595,4595
2011-04-30,5312,3347,1965,611,5312,5312
